152293,152294,"{'osmid': 7985436, 'name': 'Avenue du Moulin de Notre-Dame', 'highway': 'residential', 'oneway': False, 'reversed': False, 'length': 45.056, 'geometry': <LINESTRING (4.812 43.932, 4.812 43.932, 4.812 43.933)>, 'speed_kph': 32.7, 'travel_time': 5.0}"
152293,1674101863,"{'osmid': 7985436, 'name': 'Avenue du Moulin de Notre-Dame', 'highway': 'residential', 'oneway': False, 'reversed': True, 'length': 71.231, 'geometry': <LINESTRING (4.812 43.932, 4.812 43.932, 4.813 43.932)>, 'speed_kph': 32.7, 'travel_time': 7.8}"
152293,657438,"{'osmid': 80615764, 'name': 'Avenue de la Cabrière', 'highway': 'residential', 'oneway': False, 'reversed': False, 'length': 58.615, 'geometry': <LINESTRING (4.812 43.932, 4.812 43.932, 4.812 43.932)>, 'speed_kph': 32.7, 'travel_time': 6.5}"
152294,152293,"{'osmid': 7985436, 'name': 'Avenue du Moulin de Notre-Dame', 'highway': 'residential', 'oneway': False, 'reversed': True, 'length': 45.056, 'geometry': <LINESTRING (4.812 43.933, 4.812 43.932, 4.812 43.932)>, 'speed_kph': 32.7, 'travel_time': 5.0}"
152294,940352416,"{'osmid': 1256790962, 'oneway': True, 'name': 'Avenue du Moulin de Notre-Dame', 'highway': 'living_street', 'maxspeed': '20', 'reversed': False, 'length': 62.845, 'geometry': <LINESTRING (4.812 43.933, 4.812 43.933, 4.812 43.933)>, 'speed_kph': 20.0, 'travel_time': 11.3}"
152299,961696722,"{'osmid': 786597335, 'oneway': True, 'name': 'Avenue du Moulin de Notre-Dame', 'highway': 'living_street', 'maxspeed': '20', 'reversed': False, 'length': 23.462, 'geometry': <LINESTRING (4.812 43.935, 4.812 43.935, 4.811 43.935)>, 'speed_kph': 20.0, 'travel_time': 4.2}"
152303,926896198,"{'osmid': 588194152, 'oneway': True, 'lanes': '1', 'name': 'Avenue Saint-Ruf', 'highway': 'tertiary', 'maxspeed': '30', 'reversed': False, 'length': 54.713, 'geometry': <LINESTRING (4.81 43.938, 4.81 43.938, 4.81 43.937)>, 'speed_kph': 30.0, 'travel_time': 6.6}"
152309,937779237,"{'osmid': 80357710, 'name': 'Rue Antoine Peyrol', 'highway': 'residential', 'oneway': False, 'reversed': False, 'length': 152.16899999999998, 'geometry': <LINESTRING (4.817 43.932, 4.817 43.932, 4.817 43.932, 4.817 43.932, 4.818 4...>, 'speed_kph': 32.7, 'travel_time': 16.8}"
152309,937779264,"{'osmid': 154964866, 'name': 'Avenue du Chevalier de Folard', 'highway': 'residential', 'oneway': False, 'reversed': False, 'length': 65.896, 'geometry': <LINESTRING (4.817 43.932, 4.817 43.932, 4.817 43.932, 4.817 43.932)>, 'speed_kph': 32.7, 'travel_time': 7.3}"
152309,937779270,"{'osmid': 154964866, 'name': 'Avenue du Chevalier de Folard', 'highway': 'residential', 'oneway': False, 'reversed': True, 'length': 74.477, 'geometry': <LINESTRING (4.817 43.932, 4.817 43.932, 4.817 43.933, 4.817 43.933, 4.817 4...>, 'speed_kph': 32.7, 'travel_time': 8.2}"
152314,657447,"{'osmid': [456872242, 80615764], 'name': ['Avenue de la Cabrière', 'Abbaye Saint-Ruf'], 'highway': 'residential', 'oneway': False, 'reversed': True, 'length': 48.246, 'geometry': <LINESTRING (4.813 43.929, 4.813 43.929, 4.813 43.929, 4.813 43.929, 4.813 4...>, 'speed_kph': 32.7, 'travel_time': 5.3}"
152314,1674101781,"{'osmid': 861417574, 'oneway': True, 'highway': 'residential', 'reversed': False, 'length': 26.294, 'geometry': <LINESTRING (4.813 43.929, 4.813 43.929, 4.813 43.929, 4.813 43.929, 4.812 4...>, 'speed_kph': 32.7, 'travel_time': 2.9}"
152329,7572566693,"{'osmid': 809955753, 'oneway': True, 'highway': 'residential', 'reversed': False, 'length': 10.372, 'geometry': <LINESTRING (4.813 43.929, 4.813 43.929, 4.813 43.929, 4.813 43.929)>, 'speed_kph': 32.7, 'travel_time': 1.1}"
152329,7572566695,"{'osmid': 809955755, 'oneway': True, 'name': 'Avenue de la Cabrière', 'highway': 'residential', 'maxspeed': '30', 'reversed': False, 'length': 19.878999999999998, 'geometry': <LINESTRING (4.813 43.929, 4.813 43.929, 4.813 43.928, 4.813 43.928)>, 'speed_kph': 30.0, 'travel_time': 2.4}"
